name,url,img,loc,Loại hình di tích,Loại hình xếp hạng,Xếp hạng,Niên đại tuyệt đối,Niên đại chủ đạo,Tọa độ,Đối tượng thờ,Dấu vết vật chất sớm nhất,Quyết định xếp hạng,Tên khác,Niên đại khởi dựng
Đình Thanh Trí,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2732,http://ditich.vn\upload\images\ditich\Di-T0217.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Minh Trí",Đình,,Di tích cấp Tỉnh,,,"21°16'07.2""N 105°45'52.3""E",Quý Minh Đại Vương,,UBNDTPHN,,
Đình Hoàng Dương,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2731,http://ditich.vn\upload\images\ditich\Di-H0082.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Mai Đình",Đình,,Di tích cấp Tỉnh,,Nửa đàu TK20,"21°13'38.6""N 105°49'30.0""E",Quý Minh Phối thờ,,Số 5192/QĐ-UB ngày 30/7/2002,,
Đình Hiền Lương,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2730,http://ditich.vn\upload\images\ditich\Di-H0026.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Hiền Ninh",Đình,,Di tích cấp Quốc gia,Trung cung,"Đại bái, trung cung , hậu cung","21°15'24.4""N 105°47'38.1""E",Đức thánh tam giang,,Số 95-1998/QĐ-BVHTT ngày 24/01/1998,,
Đình Yên Ninh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2729,http://ditich.vn\upload\images\ditich\Di-Y0036.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Hiền Ninh",Đình,,Di tích cấp Tỉnh,Đại đình,Đại đình,"21°14'32.8""N 105°47'26.8""E","Trương Nghè , Cao sơn – Quý Minh",,Số 5191/QĐ-UB ngày 30/7/2002,,
Đình Đức Hậu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2728,http://ditich.vn\upload\images\ditich\Di-D0099.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Đức Hoà",Đình,,Di tích cấp Quốc gia,,Tiền tế,"21°14'04.3""N 105°53'01.7""E",Trương Hống – Trương Hát,,Số 372QĐ/BT ngày 10/3/1994,,
Đình thôn Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2522,http://ditich.vn\upload\images\ditich\Di-T0209.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Đức Hoà",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,cuối thế kỷ 19 và đâu của thế kỷ 20,Đại bái,"21°13'41.5""N 105°52'41.9""E",Đức Thánh Tam giang,,Số 747/QĐ-UBND ngày 15/2/2007,,cuối thế kỷ 19
Đình Thôn Trung,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2727,http://ditich.vn\upload\images\ditich\Di-T0207.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Đức Hoà",Đình,,Di tích cấp Tỉnh,Đại đình,Đại đình,"21°13'45.8""N 105°53'18.6""E",Đức Thánh Tam giang,,Số 745/QĐ-UBND ngày 15/02/2007,,
Đình Đô Tân,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2726,http://ditich.vn\upload\images\ditich\Di-D0142.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Bắc Sơn",Đình,,,,đại đình,"21°20'59.8""N 105°48'59.6""E",Đức Thánh Tam giang,,Chưa xếp hạng,,
Đình Phú Tăng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2725,http://ditich.vn\upload\images\ditich\Di-P0080.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Bắc Phú",Đình,,Di tích cấp Quốc gia,,đại đình,"21°16'29.4""N 105°54'18.6""E",Đức Thánh Tam giang,,Số 08/2008/QĐ-BVHTTDL ngày 26/02/2008,,
Chùa Thu Thuỷ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2724,http://ditich.vn\upload\images\ditich\Ch-T0153.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Xuân Thu",Chùa,,,,Tiền đường – Cuối TK19,"21°11'51.1""N 105°53'49.6""E",Phật,,,Anh Vũ Tự,
Chùa Đại Bi,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2723,http://ditich.vn\upload\images\ditich\Ch-D0030.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Xuân Thu",Chùa,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Tiền đường,"Tiền Đường - Cuối Tk 18, Thượng Điện","21°11'42.4""N 105°53'12.9""E",Phật,,Số 3951QĐ/BVHTT ngày 20/12/1997,Đại Bi Tự - Chùa Xuân Lai,
Chùa Yên Phú,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2722,http://ditich.vn\upload\images\ditich\Ch-Y0015.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Xuân Thu",Chùa,,,Tiền đường,Tiền đường - đầu thế kỷ 20,"21°11'10.7""N 105°53'48.4""E",Phật,,,Phúc Khánh Tự,
Chùa Lương Phúc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2721,http://ditich.vn\upload\images\ditich\Ch-L0061.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Việt Long",Chùa,,,- Tiền đường,Tam bảo,"21°14'46.4""N 105°54'52.5""E",Phật,,,Phúc Long tự,
Chùa Ninh Cầm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2720,http://ditich.vn\upload\images\ditich\Ch-N0063.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Tân Dân",Chùa,,,,"Tiền đường – nửa cuối thê kỷ 17- PC chung đầu TK20, Thượng điện- PC chung đầu TK20","21°15'10.6""N 105°44'13.3""E",Phật,,,Linh Sơn Cổ Tự,
Chùa Lương Châu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2719,http://ditich.vn\upload\images\ditich\Ch-L0060.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Tiên Dược",Chùa,,,,,"21°15'14.1""N 105°51'14.0""E",Phật,,,,
Chùa Bắc Hạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2718,http://ditich.vn\upload\images\ditich\Ch-B0060.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Quang Tiến",Chùa,,,,,"21°13'46.3""N 105°47'26.1""E",Phật,,,Tảo Lâm Tự,
Chùa Xuân Bách,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2717,http://ditich.vn\upload\images\ditich\Ch-X0015.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Quang Tiến",Chùa,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,,,"21°14'17.2""N 105°48'24.3""E",Phật,,Số 1645/QĐ-UB ngày 25/3/2003,Lương Phúc Tự,
Chùa Phù Xá Đoài,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2716,http://ditich.vn\upload\images\ditich\Ch-P0041.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Phù Minh",Chùa,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,Tiền đường,Gác chuông,"21°12'08.4""N 105°48'42.3""E",Phật,,Bộ VHTT – 15/1/1991 – 2008/VHQĐ,Phúc Lâm Tự,kỷ XVII
Chùa Thuỵ Hương,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2715,http://ditich.vn/upload/files/Anh%20hien%20trang%20nam%202006%20(2)(2).JPG,"Thành phố Hà Nội, huyện Sóc Sơn, xã Phú Cường",Chùa,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Thượng điện,TK 20,"21°12'17.0""N 105°47'17.8""E",Phật,,UBNDTPHN -9/4/2007 – 1306/ QĐUB,Linh Quang Tự,
Chùa Phù Xá Đông,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2714,http://ditich.vn\upload\images\ditich\Ch-P0063.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Phú Cường",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,,"21°12'17.0""N 105°47'17.8""E",Phật,,UBNDTPHN – 20/4/2007 – 2528/QĐUB,Hưng Long Tự,
Chùa Thắng Hữu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2713,http://ditich.vn\upload\images\ditich\Ch-T0150.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Minh Trí",Chùa,,,,Tiền đường,"21°17'07.8""N 105°44'44.5""E",Phật,,,Linh Sơn Tự,
Chùa Thắng Trí,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2712,http://ditich.vn\upload\images\ditich\Ch-T0149.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Minh Trí",Chùa,,,"Mới xây lại bằng gỗ , chất lượng kém năm 2001",,"21°17'07.8""N 105°44'44.5""E",Phật,,,Thanh Vân Tự,
Chùa Hiền lương,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2711,http://ditich.vn\upload\images\ditich\Ch-H0068.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, Hiền Ninh",Chùa,,,,,"21°15'26.7""N 105°47'49.9""E",Phật,,,Thiền Môn Tự,
Chùa Đức Hậu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2710,http://ditich.vn\upload\images\ditich\Ch-D0072.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Đức Hoà",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Điện Mẫu,"Tiền đường, thượng điện, nhà mẫu - đầu TK20","21°14'04.3""N 105°53'01.7""E",Phật,,Bộ VHTT – 10/4/1994 – 372/QĐBT,Linh Sơn Tự,
Chùa Thôn Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2709,http://ditich.vn\upload\images\ditich\Ch-T0148.jpg,"Thành phố Hà Nội, huyện Sóc Sơn, xã Đức Hoà",Chùa,,,Tiền đường,Tiền đường,"21°13'49.9""N 105°52'57.0""E",Phật,,,Hoài Ân tự,
Đình Vật Yên,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2702,http://ditich.vn\upload\images\ditich\Di-V0069.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Vật Lại",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Khải Định 2 (1917),Phong cách nghệ thuật đầu thế kỷ 20,"21°11'08.4""N 105°23'02.0""E",,,Số 1085QĐ/UB ngày 31/7/2003,,
Đình Yên Bồ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2701,http://ditich.vn\upload\images\ditich\Di-Y0002.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Vật Lại",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Câu đầu gian giữa ghi Tự Đức 1870,Đại đình còn vài mảng chạm cuối thế kỷ 17,"21°12'40.3""N 105°23'19.3""E",Tam vị Đức thánh Tản Viên,,Số 52/2001/QĐ-BVHTT ngày 28/12/2001,,
Đền Yên Bồ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2700,http://ditich.vn\upload\images\ditich\De-Y0005.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Vật Lại",Đền,,,Hậu cung ghi Bảo đại 2 (1927) và Chính Hoà 2 (1681.) Đại bái ghi Thành Thái Nhâm thìn (1892),Còn mảng chạm giữa thế kỷ 17.,"21°12'44.4""N 105°23'24.3""E",,,,đền Vù,
đền Trung Cung,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2705,http://ditich.vn\upload\images\ditich\De-T0107.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Vật Lại",Đền,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,Câu đầu ghi niên đại Quý Tỵ 1953,Nửa sau thế kỷ 20,"21°03'56.0""N 105°20'44.6""E",thờ bà Ma Thị Cao Sơn,,Số 1683QĐ/UB ngày 13/12/2002,đền Trung,
Chùa Yên Bồ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2699,http://ditich.vn\upload\images\ditich\Ch-Y0017.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Vật Lại",Chùa,,,Tam bảo ghi niên đạiT ự Đức 13 ( 1860),Phong cách nghệ thuật nửa cuối thế kỷ 19,"21°12'54.5""N 105°23'42.6""E",Phật,,,Linh Sơn tự,
Đình Quy Mông,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2698,http://ditich.vn\upload\images\ditich\Di-Q0025.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Sơn",Đình,,,Quý Tỵ 1893,Phong cách nghệ thuật cuối 19,"21°13'29.5""N 105°22'49.0""E",,,,,
Đình Cao Lĩnh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2697,http://ditich.vn/upload/files/Anh%20hien%20trang%20nam%202006%20(1).jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Sơn",Đình,,,"Thành Thái 18, tuế Bính Ngọ (1906)","Phong cách nghệ thuật cuối 19, đầu 20.","21°15'03.2""N 105°25'35.1""E",,,,,
Đình Phương Khê,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2696,http://ditich.vn\upload\images\ditich\Di-P0085.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Phương",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,"Đại đình, Hậu cung có nhiều mảng chạm rồng phong cách nghệ thuật thế kỷ 17","21°15'03.2""N 105°25'35.1""E",thờ thành hoàng huý là Hồng Nương,,Số 306 QĐ/UB ngày 22/2/2006,,
Đình Phương Châu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=1913,http://ditich.vn\upload\images\ditich\Di-P0048.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Phương",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Câu đầu gian giữa ghi Tự Đức 1866- 1869,Đại đình còn nhiều mảng chạm nửa đầu thế kỷ 17.,"21°14'49.6""N 105°25'24.3""E",Thánh Cao Sơn và Quý Minh đại vương,,Số 05/1999/QĐ-BVHTT ngày 12/02/1999,,
Văn chỉ làng Đông Lâu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2695,http://ditich.vn\upload\images\ditich\Vc-D0004.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Đông",Văn Chỉ,,,Câu đầu Tiền tế ghi Duy Tân Canh Tuất 1910,Còn vài mảng chạm phong cách nghệ thuật đầu thế kỷ 20,"21°15'10.4""N 105°22'35.2""E",,,,,
Đình Phú Nghĩa,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2694,http://ditich.vn\upload\images\ditich\Di-P0086.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Đông",Đình,,,Quý Sửu ( 1913),Phong cách nghệ thuật đầu thế kỷ 20,"21°15'15.3""N 105°22'32.5""E",,,,,
Đền xóm Thuận,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2693,http://ditich.vn\upload\images\ditich\De-T0106.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Đông",Đền,,,"mới đại tu 1996, không còn dấu vết kiến trúc cổ.",,"21°15'35.1""N 105°22'31.8""E",,,,,
Đình Đông Lâu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2692,http://ditich.vn/upload/files/Anh%20hien%20trang%20nam%202006%20(2)(1).jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Đông",Đình,,,Minh Mạng 1825 -1829,Đại đình còn mảng chạm nửa đầu thế kỷ 17,"21°15'19.2""N 105°22'24.2""E",,,,,
Đền Xóm Duy,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2691,http://ditich.vn\upload\images\ditich\De-D0049.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Đông",Đền,,,,Còn vài mảng chạm phong cách nghệ thuật nửa sau 19,"21°14'59.9""N 105°22'35.5""E",,,,,
Chùa Phú Nghĩa,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2704,http://ditich.vn\upload\images\ditich\Ch-P0067.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Đông",Chùa,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,,,"21°15'32.7""N 105°22'38.9""E",Phật,,Số 89 QĐ/UB ngày 28/01/2004,Xuân Lũng tự,
Nhà thờ họ Nguyễn Đại,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=1950,http://ditich.vn\upload\images\ditich\TD-N0001.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Cường",Nhà thờ,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Toà trong làm năm Thành Thái Ất Mùi (1895) Toà ngoài làm năm Bảo Đại 10 ( 1935),,"21°16'58.3""N 105°23'48.2""E",Tổ tiên,,,,
Chùa Thanh Chiểu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2690,http://ditich.vn\upload\images\ditich\Ch-T0156.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Cường",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền đường ghi Thiệu Trị 4 ( 1844) tu tạo,"Còn vài mảng chạm cuối 17, đầu 18","21°17'15.6""N 105°24'01.2""E",Phật,,Số 18 QĐ/UB ngày 08/01/2002,Sùng Giáo tự,
Chùa Phú Thịnh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2689,http://ditich.vn\upload\images\ditich\Ch-P0066.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Cường",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Còn nhiều mảng chạm ( đầu dư ) nửa sau 17,"21°17'57.8""N 105°23'26.7""E",Phật,,Số 18 QĐ/UB ngày 08/01/2002,Hoa Nghiêm tự,
Đình Phong Châu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2688,http://ditich.vn\upload\images\ditich\Di-P0084.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Phú Châu",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Câu đầu gian giữa ghi Tự Đức 1866- 1869,Đại đình còn nhiều mảng chạm nửa đầu thế kỷ 17.,"21°14'29.9""N 105°25'45.4""E",Tam Vị Đại Vương Tản viên Sơn Thánh,,Số 306 QĐ/UB ngày 22/02/2006,đình Séo,
Đình Tri Lai,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2708,http://ditich.vn\upload\images\ditich\Di-T0220.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Đồng Thái",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Câu đầu gian giữa ghi Tiền tế sửa 1939,Còn vài mảng chạm ở Tiền tế ...,"21°14'11.5""N 105°23'51.7""E",,,Số 233QĐ/UB ngày 3/3/2003,,
Đình Đồng Bảng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2686,http://ditich.vn\upload\images\ditich\Di-D0146.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Đồng Thái",Đình,,,Câu đầu gian giữa ghi Minh Mạng 13 (1832),,"21°13'17.6""N 105°24'19.3""E",,,,,
Đền Trúc Lâm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2685,http://ditich.vn\upload\images\ditich\De-T0064.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Đồng Thái",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,"Phong cách nghệ thuật cuối 19, đầu 20","21°13'34.5""N 105°23'45.0""E",Phùng Lân Hổ,,Số 168VH/QĐ ngày 2/3/1990,,
Đền Lác,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2684,http://ditich.vn\upload\images\ditich\De-L0026.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Đồng Thái",Đền,,,Khải Định 6 ( 1921 ),"Còn vài mảng chạm phong cách nghệ thuật cuối 19, đầu 20","21°13'33.4""N 105°23'51.1""E","thờ Đức thánh Tản Viên, Sùng Công và Hiển Công",,,,
Chùa Đồng Bảng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2683,http://ditich.vn/upload/files/%E1%BA%A2nh%20hi%C3%AAn%20trang%20n%C4%83m%202006%20(1).jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Đồng Thái",Chùa,,,Câu đầu gian giữa Tiền tế ghi tu tạo năm Tân Hợi (1911). Câu đầu gian giữa Tam bảo ghi tu sửa năm Bảo Đại Nhâm Ngọ (1942),Phong cách kiến trúc - nghệ thuật đầu thế kỷ 20,"21°13'35.4""N 105°23'50.6""E",Phật,,,Thiên Phúc tự,
Đình Viên Châu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2707,http://ditich.vn\upload\images\ditich\Di V0031.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Cổ Đô",Đình,Di tích lịch sử văn hóa,Di tích cấp Quốc gia,,"Đại đình có nhiều mảng chạm rồng, tiên nữ phong cách nghệ thuật giữa thế kỷ 17.","21°17'22.9""N 105°23'07.1""E",Thông Hà và Thuỷ Giang Linh ứng Đại vương,,Số 165VH/QĐ ngày 21/11/85,,xây dựng từ thế kỷ 17
Đình Vĩnh Phệ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2682,http://ditich.vn/upload/files/Phieu%20dieu%20tra%20nam%202002%20(2).jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Chu Minh",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Câu đầu gian giữa ghi hai lần trùng tu,Đại đình có nhiều mảng chạm cuối 18 đầu 19.,"21°11'33.6""N 105°26'03.5""E",,,Số 04/2004/QĐ-BVHTT ngày 18/2/2004,,
Đình Chu Quyến,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=1902,http://ditich.vn\upload\images\ditich\Di-C0035.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Chu Minh",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,trùng tu năm 2007,Phong cách nghệ thuật nửa đầu thế kỷ 17,"21°11'47.5""N 105°26'34.3""E",Nhã Lang,,số 313/QĐ ngày 28/04/1962,đình Chàng,Thế kỷ 17
Miếu Mèn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2681,http://ditich.vn\upload\images\ditich\Mi-M0011.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Cam Thượng",Miếu,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Trên xà nối 2 cột cái vào Hậu cung có ghi,Còn một mảng chạm trên rường vì nóc Hậu cung phong cách nghệ thuật cuối thế kỷ 18,"21°10'07.5""N 105°28'02.0""E",Hoàng hậu Man Thiện,,Số 1539VH/QĐ ngày 27/12/1990,,
Đình Quỳnh Lâm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2680,http://ditich.vn\upload\images\ditich\Di-Q0024.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Cam Thượng",Đình,,,Tự Đức 1858 và 1859,Phong cách nghệ thuật đầu thế kỷ 20,"21°09'34.6""N 105°26'54.6""E",,,,,
Đình Nam An,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2679,http://ditich.vn\upload\images\ditich\Di-N0098.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Cam Thượng",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,- Câu đầu gian giữa Tiền tế ghi Cảnh Hưng 37 (1776).,"Chạm rồng, đao mác nửa sau thế kỷ 18 ở Tiền tế.","21°09'59.7""N 105°27'44.9""E",,,Bộ Văn hóa Thông tin năm 1992,,
Đình Cam Cao,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2678,http://ditich.vn\upload\images\ditich\Di-C0039.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Cam Thượng",Đình,,,,"Phong cách nghệ thuật cuối 19, đầu 20","21°09'38.8""N 105°27'36.1""E",,,,đền Mẫu Cụ,
Đền Thịnh Thôn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2677,http://ditich.vn\upload\images\ditich\De-T0105.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Cam Thượng",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Câu đầu gian giữa Đại bái Tự Đức 25 (1872),Cuối thế kỷ 19,"21°10'11.1""N 105°27'07.6""E","bà Man Thiện, thân mẫu của Hai Bà Trưng",,Số 351/QĐ ngày 15/2/1992,,
Đình Vô Khuy,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2676,http://ditich.vn\upload\images\ditich\Di-V0067.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Cẩm Lĩnh",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Giữa thế kỷ 20,"21°10'38.3""N 105°21'41.1""E",,,Số 2713QĐ/UB ngày 31/12/2003,,
Đình Bằng Tạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2675,http://ditich.vn\upload\images\ditich\Di-B0055.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Cẩm Lĩnh",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Thành Thái 4 (1902),"Phong cách nghệ thuật cuối thế kỷ 19, đầu 20","21°10'38.0""N 105°20'40.6""E",,,Số 795QĐ/UB ngày 29/7/1998,,
Đền Ngọc Nhị,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2706,http://ditich.vn\upload\images\ditich\De-N0032.jpg,"Thành phố Hà Nội, huyện Ba Vì, xã Cẩm Lĩnh",Đền,,,Câu Đầu ghi niên đại Đinh Dậu 1957,Nửa sau thế kỷ 20,"21°11'40.6""N 105°20'53.4""E",Tản viên thánh,,,,
Đình Đa Hội,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2670,http://ditich.vn\upload\images\ditich\Di-D0130.jpg,"Tỉnh Bắc Giang, huyện Hiệp Hòa, xã Hợp Thịnh",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,,,"21°20'25.3""N 105°53'12.4""E",Đức Thánh Tam Giang,,Số,,
Đình thôn Hà Nội,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2669,http://ditich.vn\upload\images\ditich\Di-H0076.jpg,"Tỉnh Bắc Giang, huyện Hiệp Hòa, xã Đại Thành",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,"Hoàng triều Khải Định lục niên Tân Dậu tuế Qúy Thu, trong cấu tác kiến tạo thượng lương đại cát(1921)",Đầu thế kỷ 20,"21°20'31.3""N 105°54'32.6""E",Đức Thánh Tam Giang,Đầu thế kỷ 19,Số,,
Đình Bé,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=2668,http://ditich.vn\upload\images\ditich\Di-B0048.jpg,"Tỉnh Bắc Giang, huyện Hiệp Hòa, xã Hòa Sơn",Đình,Di tích lịch sử văn hóa,Di tích cấp Tỉnh,CHXHCNVN tuế Bính Thân xây dựng(2006),,"21°22'01.8""N 105°55'32.7""E",Đức Vua Bà(thờ vọng) và đức thánh Hùng Linh Công,,Số,đình Âu Ca,
